Mouse,chromo_tag_1,chromo_tag_2,chromo_tag_3,plasmid_tag_1,plasmid_tag_2,plasmid_tag_3,plasmid_tag_4
1,1.43E-05,0.384587735,5.49E-06,3.28E-06,0.257623931,1.30E-06,0.357763947
2,6.73E-06,6.84E-06,0.462496734,0.007919023,2.71E-06,5.66E-07,0.529567401
3,,,,,,,
4,0.327179462,0.000301049,5.56E-06,0.260211439,0.116925245,0.067701537,0.227675704
5,1.21E-06,0.612523952,0.000822676,0.290112928,0.086624788,0.007049415,0.00286503
6,0.000668493,0.328408395,5.76E-06,0.194826559,0.039850966,0.125916203,0.310323627
7,0.000015254,8.70E-05,0.518058231,0.044089709,0.072865552,0.16805208,0.196832172
8,0.000398945,0.311507438,0.058953325,4.36E-05,0.000191958,0.628178533,0.00072619
9,3.17E-06,0.99998707,4.37E-06,8.92E-07,2.74E-06,1.35E-06,4.11E-07
10,3.70E-05,2.79E-05,0.999901849,4.53E-06,0.000013602,9.90E-06,5.19E-06
11,0.377867117,8.29E-05,3.15E-05,0.028602102,0.587110336,0.005324076,0.000982054
12,,,,,,,
13,,,,,,,
