Type,mean,sd,measure
Donors,2.3076923076923075,2.982857002512172,Reseeding timing
Recipients,5.230769230769231,3.3454906504588666,Reseeding timing
Transconjugants,5.3076923076923075,3.1194180916910175,Reseeding timing
Donors,NA,NA,Final Pop Size
Recipients,223050551.53846154,348730315.4184221,Final Pop Size
Transconjugants,160342000,294688997.2431388,Final Pop Size
Chromo,0.016579465836705796,0.050789583940758345,evenness
Chromo,0.5666666666666667,0.2249828525701843,prop
Chromo,2140.116549346853,2479.151814731561,ratio
Plasmid,0.35819369576026283,0.28233516280850657,evenness
Plasmid,0.875,0.21245914639969937,prop
Plasmid,96.4481277313974,270.83777236065254,ratio
