Day,1,2,3,4,5,6,7,8,9,10,11,12,13,Type
0,,,,,,,,,,,,,,Donors
1,,,,,,,,,,,,,,Donors
2,,,,,,,,,,,,,,Donors
3,100000000,1590000000,870000000,1810000000,129000000,2260000000,3040000000,1000,1650000000,1940000000,7070000000,,,Donors
4,1040000000,2930000000,8090000000,2430000000,502000000,1970000000,10300000000,1600000000,1980000000,1690000000,2820000000,,,Donors
5,2760000000,888000000,2580000000,3590000000,2470000000,1040000000,3030000000,27200000000,255000000,1420000000,5170000000,,,Donors
6,7920000000,82800000,102000000,2800000000,1240000000,1050000000,515000000,1950000000,301000000,46200000,1150000000,,,Donors
7,1520000000,851000,314000,82500000,9850000,462000000,224000000,1170000000,704000,2240000,692000000,,,Donors
8,740000000,579000,647000,197000000,35600000,364000000,128000000,231000000,205000,1210000,201000000,,,Donors
9,77000000,1010000,24100,154000000,37700000,93900000,490000000,1000,61700,3620,115000000,,,Donors
10,825000000,287000,1170,4680000,4680000,190000000,377000000,28400000,95700,278000,54400000,,,Donors
0,,,,,,,,,,,,,,Recipients
1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,Recipients
2,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,Recipients
3,1000,8290,1000,1840000,6680,15600000,1000,1000,1000,1000,1000,1000,1000,Recipients
4,1000,189000,1000,7610000,1000,70200000,4600,1000,1000,1000,234000000,1000,1000,Recipients
5,3270000,38900000,1000,664000000,488000000,91300000,970,22200,1000,1000,350000000,1000,1000,Recipients
6,321000000,1030000,1000,900000000,56700000,113000000,54900000,1000,1000,1000,1440000000,1000,1000,Recipients
7,1250000000,765000,1000,1000,49300000,331000000,48800000,1000,1000,1000,1050000000,1000,1000,Recipients
8,183000000,127000,1000,3230000,400000000,8990000,13800000,53800000,1000,1000,1030000000,1000,1000,Recipients
9,41700000,322000,1000,1000,401000000,1000,32300000,1880000000,1000,1000,241000000,1000,1000,Recipients
10,954000000,11700,1000,28100000,613000000,2340000,25200000,597000000,1230,1240,680000000,1000,1000,Recipients
0,,,,,,,,,,,,,,Transconjugants
1,,,,,,,,,,,,,,Transconjugants
2,,,,,,,,,,,,,,Transconjugants
3,1000,1000,1000,279000,1480,686000,1000,1000,1000,1000,1000,1000,1000,Transconjugants
4,1000,58400,1000,1840000,1340,60200000,1000,1000,1000,1000,45200000,1000,1000,Transconjugants
5,645000,2450000,1000,257000000,846000000,23900000,1000,22200,1000,1000,58400000,1000,1000,Transconjugants
6,5830000,34300,1000,932000000,546000000,31600000,3400000,101000000,1000,1000,815000000,1000,1000,Transconjugants
7,487000000,11200,1000,155000000,98500000,840000000,29300000,200000000,1000,1000,902000000,1000,1000,Transconjugants
8,373000000,1940,1000,289000000,179000000,18000000,47300000,162000000,1000,1000,315000000,1000,1000,Transconjugants
9,510000000,24600,1000,58300000,70900000,12300000,79400000,137000000,1000,1000,658000000,1000,1000,Transconjugants
10,345000000,41000,1000,171000000,42100000,288000000,45300000,133000000,1000,1000,1060000000,1000,1000,Transconjugants
