carrying_cap,replicate,recip_pop_size,trans_pop_size
10000000000,1,281787558,9642472492
10000000000,2,238800933,9685619247
10000000000,3,241942078,9682269799
10000000000,4,190169665,9734175941
10000000000,5,204802781,9719531367
10000000000,6,177623966,9746714629
10000000000,7,159876221,9764129071
10000000000,8,284719150,9639577284
10000000000,9,156867808,9767376876
10000000000,10,280363049,9643879507
10000000000,11,229226023,9694831810
10000000000,12,248286171,9676128488
10000000000,13,155771508,9768393802
10000000000,14,290144635,9634163220
10000000000,15,152359898,9771885240
10000000000,16,302117984,9622254554
10000000000,17,153458503,9770798162
10000000000,18,212198369,9712043032
10000000000,19,244326595,9679877332
10000000000,20,208113140,9715945942
10000000000,21,222151829,9702166206
10000000000,22,195810775,9728357044
10000000000,23,166055917,9758308990
10000000000,24,250214309,9673864982
10000000000,25,767470843,9156609586
10000000000,26,140597685,9783741603
10000000000,27,219892470,9704427696
10000000000,28,168638116,9755516743
10000000000,29,330616684,9593590125
10000000000,30,609490187,9314677913
10000000000,31,167321086,9756894304
10000000000,32,151763460,9772464538
10000000000,33,233252892,9691077616
10000000000,34,191803490,9732453263
10000000000,35,220181138,9704201256
10000000000,36,133790015,9790577245
10000000000,37,128715193,9795505508
10000000000,38,175652431,9748528426
10000000000,39,157752482,9766495169
10000000000,40,160609596,9763614781
10000000000,41,116137724,9808005127
10000000000,42,194201127,9730057498
10000000000,43,158582355,9765710148
10000000000,44,185305072,9739028569
10000000000,45,159250227,9765129578
10000000000,46,1454756843,8469604105
10000000000,47,429081156,9495145149
10000000000,48,480647579,9443694843
10000000000,49,157625739,9766618689
10000000000,50,152631571,9771660780
10000000000,51,230420886,9693830105
10000000000,52,210743340,9713509497
10000000000,53,325835397,9598449214
10000000000,54,167871201,9756325931
10000000000,55,202260285,9722100802
10000000000,56,146347360,9778115188
10000000000,57,223004010,9701347278
10000000000,58,152562826,9771740369
10000000000,59,380427400,9543810086
10000000000,60,159337807,9764994633
10000000000,61,1096853553,8827433805
10000000000,62,154830165,9769376543
10000000000,63,234146689,9690063604
10000000000,64,169317016,9755085902
10000000000,65,311106185,9612927356
10000000000,66,163332095,9760691683
10000000000,67,199982810,9724352124
10000000000,68,157230969,9766919533
10000000000,69,263067596,9661090832
10000000000,70,155779768,9768281843
10000000000,71,659589312,9264718513
10000000000,72,162225956,9761863924
10000000000,73,181493989,9742712078
10000000000,74,266590560,9657774272
10000000000,75,249737145,9674690139
10000000000,76,292733810,9631370017
10000000000,77,160544082,9763639008
10000000000,78,158370683,9765815610
10000000000,79,162816659,9761243956
10000000000,80,287675098,9636538192
10000000000,81,276129031,9648043735
10000000000,82,223737600,9700566016
10000000000,83,150870465,9773341251
10000000000,84,149987374,9774281549
10000000000,85,187682838,9736501336
10000000000,86,168240306,9755919067
10000000000,87,178319144,9745808837
10000000000,88,1032925944,8891391962
10000000000,89,279931473,9644193435
10000000000,90,376221219,9547865762
10000000000,91,245827121,9678371554
10000000000,92,249392652,9674845406
10000000000,93,156056981,9767989399
10000000000,94,470382721,9453738903
10000000000,95,159748175,9764411484
10000000000,96,401097658,9523245354
10000000000,97,163160224,9760969466
10000000000,98,149632483,9774570866
10000000000,99,195066170,9729336187
10000000000,100,154483037,9769786906
5623413251.903491,1,777654482,4803206995
5623413251.903491,2,1103858606,4477011162
5623413251.903491,3,691923758,4888859911
5623413251.903491,4,799525093,4781187493
5623413251.903491,5,829550346,4751180647
5623413251.903491,6,702765754,4877896326
5623413251.903491,7,663077103,4917841301
5623413251.903491,8,689545442,4891215199
5623413251.903491,9,936269894,4644515335
5623413251.903491,10,668045134,4912845027
5623413251.903491,11,852409481,4728418455
5623413251.903491,12,643291822,4937417075
5623413251.903491,13,812781093,4768013142
5623413251.903491,14,678141658,4902566707
5623413251.903491,15,907150555,4673632351
5623413251.903491,16,681303199,4899535137
5623413251.903491,17,687366582,4893386038
5623413251.903491,18,688636303,4892032442
5623413251.903491,19,799032639,4781918587
5623413251.903491,20,685156218,4895742042
5623413251.903491,21,689089074,4891562806
5623413251.903491,22,677030153,4903850233
5623413251.903491,23,873508047,4707174441
5623413251.903491,24,763836630,4816948968
5623413251.903491,25,2313665913,3267193910
5623413251.903491,26,875542047,4705159021
5623413251.903491,27,708958082,4871844154
5623413251.903491,28,745270213,4835451281
5623413251.903491,29,691690805,4889087333
5623413251.903491,30,691856382,4889064431
5623413251.903491,31,691909859,4888838125
5623413251.903491,32,823227794,4757638643
5623413251.903491,33,677635713,4903176236
5623413251.903491,34,808194943,4772574291
5623413251.903491,35,704212706,4876588381
5623413251.903491,36,809178999,4771633629
5623413251.903491,37,607182730,4973689289
5623413251.903491,38,921593995,4659223803
5623413251.903491,39,747032535,4833806759
5623413251.903491,40,626628881,4953958641
5623413251.903491,41,744454368,4836334794
5623413251.903491,42,756785298,4823956644
5623413251.903491,43,741057185,4839629388
5623413251.903491,44,689757624,4891121069
5623413251.903491,45,737527386,4843416700
5623413251.903491,46,681373337,4899579054
5623413251.903491,47,967092798,4613630354
5623413251.903491,48,865232322,4715654524
5623413251.903491,49,668349771,4912404168
5623413251.903491,50,1430319662,4150598469
5623413251.903491,51,720159176,4860635161
5623413251.903491,52,688237265,4892410552
5623413251.903491,53,1095964965,4484892861
5623413251.903491,54,730696425,4850087640
5623413251.903491,55,668092760,4912713176
5623413251.903491,56,686491882,4894323928
5623413251.903491,57,1549041802,4031668265
5623413251.903491,58,993847657,4586915141
5623413251.903491,59,1090617915,4490282237
5623413251.903491,60,686522004,4894430435
5623413251.903491,61,689325671,4891542895
5623413251.903491,62,1652831607,3927989232
5623413251.903491,63,1004262116,4576679462
5623413251.903491,64,702772143,4878046261
5623413251.903491,65,854816461,4725893122
5623413251.903491,66,721467771,4859303422
5623413251.903491,67,673254649,4907559503
5623413251.903491,68,1316618404,4264244388
5623413251.903491,69,873749317,4707077455
5623413251.903491,70,770064333,4810775622
5623413251.903491,71,702470547,4878456793
5623413251.903491,72,1328860737,4251935281
5623413251.903491,73,741881584,4838812854
5623413251.903491,74,1005533578,4575206926
5623413251.903491,75,855016861,4725863600
5623413251.903491,76,1144766877,4436181564
5623413251.903491,77,1042570590,4538216229
5623413251.903491,78,1013751057,4567088139
5623413251.903491,79,666492621,4914341686
5623413251.903491,80,670622581,4910265980
5623413251.903491,81,685771592,4895004587
5623413251.903491,82,1006258849,4574453029
5623413251.903491,83,694794237,4885968930
5623413251.903491,84,800364647,4780399126
5623413251.903491,85,718150933,4862671182
5623413251.903491,86,685885489,4894916524
5623413251.903491,87,679428735,4901312013
5623413251.903491,88,973452151,4607223474
5623413251.903491,89,664661187,4916018342
5623413251.903491,90,595730597,4985151364
5623413251.903491,91,1067076309,4513768786
5623413251.903491,92,1053491265,4527427747
5623413251.903491,93,897610902,4683316444
5623413251.903491,94,1092774155,4488098762
5623413251.903491,95,1564063122,4016718095
5623413251.903491,96,1052207766,4528551076
5623413251.903491,97,683739830,4897123046
5623413251.903491,98,1123360896,4457376850
5623413251.903491,99,726329816,4854605239
5623413251.903491,100,870068140,4710827446
3162277660.1683793,1,1334541594,1803793943
3162277660.1683793,2,1121642498,2016656901
3162277660.1683793,3,1104604016,2033736684
3162277660.1683793,4,1172146352,1966185850
3162277660.1683793,5,1107310465,2030926923
3162277660.1683793,6,1314139409,1824050429
3162277660.1683793,7,1161381341,1976988868
3162277660.1683793,8,1124879414,2013463137
3162277660.1683793,9,1153593561,1984675094
3162277660.1683793,10,1530982802,1607430563
3162277660.1683793,11,1614813712,1523499280
3162277660.1683793,12,1403011281,1735201112
3162277660.1683793,13,1123685029,2014586499
3162277660.1683793,14,1092544073,2045837593
3162277660.1683793,15,1296674751,1841680226
3162277660.1683793,16,995587607,2142762622
3162277660.1683793,17,1259154528,1879195043
3162277660.1683793,18,1218240467,1920093676
3162277660.1683793,19,1180683988,1957681590
3162277660.1683793,20,1108690774,2029610184
3162277660.1683793,21,1155847844,1982487287
3162277660.1683793,22,1243393358,1895032162
3162277660.1683793,23,1159413622,1978924449
3162277660.1683793,24,1043176691,2095179296
3162277660.1683793,25,1097089832,2041146255
3162277660.1683793,26,1194414392,1943928899
3162277660.1683793,27,1230134899,1908133718
3162277660.1683793,28,1278969323,1859379260
3162277660.1683793,29,1148845449,1989563857
3162277660.1683793,30,1136235382,2002112550
3162277660.1683793,31,1114729871,2023569578
3162277660.1683793,32,1488193204,1650056600
3162277660.1683793,33,1273998275,1864323909
3162277660.1683793,34,1392736329,1745708260
3162277660.1683793,35,1024521727,2113825738
3162277660.1683793,36,1057860328,2080448605
3162277660.1683793,37,1043285356,2094875338
3162277660.1683793,38,1239006957,1899278026
3162277660.1683793,39,1087177044,2051161115
3162277660.1683793,40,1267781632,1870614468
3162277660.1683793,41,1206008615,1932354529
3162277660.1683793,42,1184448380,1953951436
3162277660.1683793,43,998423658,2139947186
3162277660.1683793,44,1148374973,1989886523
3162277660.1683793,45,1330517425,1807880450
3162277660.1683793,46,1118028358,2020345424
3162277660.1683793,47,1132456440,2005806296
3162277660.1683793,48,1053137271,2085302403
3162277660.1683793,49,1358139095,1780205682
3162277660.1683793,50,1173519492,1964829126
3162277660.1683793,51,1167653174,1970711388
3162277660.1683793,52,1110124853,2028141086
3162277660.1683793,53,1494341864,1644027329
3162277660.1683793,54,1508553970,1629815395
3162277660.1683793,55,1187365575,1950929291
3162277660.1683793,56,1129275299,2009063954
3162277660.1683793,57,1133527898,2004777343
3162277660.1683793,58,1123255621,2015093107
3162277660.1683793,59,1136032644,2002290893
3162277660.1683793,60,1700434425,1437910199
3162277660.1683793,61,1139749185,1998631858
3162277660.1683793,62,1314884280,1823435119
3162277660.1683793,63,1196322812,1942085242
3162277660.1683793,64,1252604376,1885722029
3162277660.1683793,65,1143676260,1994675326
3162277660.1683793,66,1432310134,1705947246
3162277660.1683793,67,1171546744,1966816432
3162277660.1683793,68,1138921536,1999259028
3162277660.1683793,69,1214392248,1923953381
3162277660.1683793,70,911669776,2226565115
3162277660.1683793,71,1289350568,1848951079
3162277660.1683793,72,1297140472,1841264256
3162277660.1683793,73,1133442949,2005035554
3162277660.1683793,74,34,3138330386
3162277660.1683793,75,1153741439,1984610855
3162277660.1683793,76,1393403791,1744946177
3162277660.1683793,77,1109388805,2028867491
3162277660.1683793,78,1145533067,1992758893
3162277660.1683793,79,1130806197,2007562928
3162277660.1683793,80,1163918987,1974299878
3162277660.1683793,81,1306559957,1831702974
3162277660.1683793,82,1133693316,2004599456
3162277660.1683793,83,1121154431,2017230626
3162277660.1683793,84,1193428130,1944873174
3162277660.1683793,85,1544776030,1593501428
3162277660.1683793,86,1138949918,1999352803
3162277660.1683793,87,1125273259,2013022133
3162277660.1683793,88,850260984,2288081727
3162277660.1683793,89,1329169363,1809136980
3162277660.1683793,90,1146635761,1991663965
3162277660.1683793,91,393514802,2744839990
3162277660.1683793,92,1164160447,1974166954
3162277660.1683793,93,1218343104,1920037756
3162277660.1683793,94,1102671128,2035658840
3162277660.1683793,95,1266874149,1871453264
3162277660.1683793,96,1297144876,1841232537
3162277660.1683793,97,1345463219,1792945667
3162277660.1683793,98,1130586521,2007689781
3162277660.1683793,99,1360548952,1777744047
3162277660.1683793,100,1186962419,1951394247
1778279410.0389228,1,1068598420,696176729
1778279410.0389228,2,990979177,773880905
1778279410.0389228,3,1106719368,658066162
1778279410.0389228,4,1058480654,706372253
1778279410.0389228,5,1063084190,701717299
1778279410.0389228,6,1160389906,604447508
1778279410.0389228,7,1090071472,674841548
1778279410.0389228,8,1052864603,711968851
1778279410.0389228,9,1051094538,713780733
1778279410.0389228,10,1066020381,698684253
1778279410.0389228,11,1192551975,572202131
1778279410.0389228,12,1051828317,712986233
1778279410.0389228,13,1090922684,673963457
1778279410.0389228,14,1127331256,637471700
1778279410.0389228,15,1047635459,717214672
1778279410.0389228,16,1101023999,663725349
1778279410.0389228,17,1151095950,613604191
1778279410.0389228,18,1067924800,696818265
1778279410.0389228,19,1070567601,694152947
1778279410.0389228,20,1054849416,709948959
1778279410.0389228,21,1090980006,673797125
1778279410.0389228,22,1161169391,603667307
1778279410.0389228,23,1043410598,721391764
1778279410.0389228,24,1055906493,708895896
1778279410.0389228,25,1491141776,273763936
1778279410.0389228,26,1083223536,681556661
1778279410.0389228,27,1055211794,709652582
1778279410.0389228,28,1125783216,639084970
1778279410.0389228,29,1113838052,651075161
1778279410.0389228,30,1109557112,655282613
1778279410.0389228,31,1057790570,707049054
1778279410.0389228,32,1244565985,520232026
1778279410.0389228,33,1045300812,719433606
1778279410.0389228,34,1073977805,690843473
1778279410.0389228,35,1055017736,709763402
1778279410.0389228,36,1049904628,714991626
1778279410.0389228,37,1029238297,735565609
1778279410.0389228,38,1100500618,664264124
1778279410.0389228,39,1061731514,703128584
1778279410.0389228,40,1167003883,597708443
1778279410.0389228,41,1088612480,676202520
1778279410.0389228,42,1110377902,654393335
1778279410.0389228,43,1247940931,516888570
1778279410.0389228,44,1069930132,694880121
1778279410.0389228,45,1067593797,697253908
1778279410.0389228,46,1043992644,720844640
1778279410.0389228,47,1131071615,633711665
1778279410.0389228,48,1094731537,670011910
1778279410.0389228,49,1137042536,627695175
1778279410.0389228,50,1060371767,704357250
1778279410.0389228,51,1030232578,734573690
1778279410.0389228,52,1051403902,713389075
1778279410.0389228,53,1101211161,663628679
1778279410.0389228,54,1059992895,704781726
1778279410.0389228,55,1062349253,702455424
1778279410.0389228,56,1052672659,712077429
1778279410.0389228,57,1145122541,619720965
1778279410.0389228,58,1113085667,651703441
1778279410.0389228,59,1053332654,711486192
1778279410.0389228,60,1044561718,720225288
1778279410.0389228,61,1071009625,693757969
1778279410.0389228,62,1050499358,714300038
1778279410.0389228,63,1083054298,681672380
1778279410.0389228,64,1037025642,727757365
1778279410.0389228,65,1060245293,704582423
1778279410.0389228,66,1045315801,719475190
1778279410.0389228,67,1190707261,574151801
1778279410.0389228,68,1104491130,660346512
1778279410.0389228,69,1119694174,645082509
1778279410.0389228,70,1135436984,629367722
1778279410.0389228,71,1084785923,680064036
1778279410.0389228,72,1079848616,684980774
1778279410.0389228,73,1048759614,715987516
1778279410.0389228,74,1150895909,613904219
1778279410.0389228,75,1122662392,642151010
1778279410.0389228,76,1089091416,675719072
1778279410.0389228,77,1115481596,649334352
1778279410.0389228,78,1229927237,534835794
1778279410.0389228,79,1083713888,681222078
1778279410.0389228,80,1159013997,605720332
