replicate,time_CFU_trans,time_CFU_recip,Even_trans,prop_trans,ratio_trans,Even_recip,prop_recip,ratio_recip,trans_pop_size,recip_pop_size,carrying_cap
1,1.48735926746494,NA,0,0.25,NA,0,0.333333333333333,NA,9924258141,0,10000000000
2,2.62085971940681,NA,0.155651830621835,0.5,3.28306345003016,0,0.333333333333333,NA,9921990688,2,10000000000
3,0.713537106434171,NA,8.39124800976846e-4,0.5,793.478563725714,0,0.333333333333333,NA,9924350534,0,10000000000
4,0.523718115019687,NA,0.767218275611837,1,1.22752073282957,0,0.333333333333333,NA,9924716138,2,10000000000
5,0.917437464505587,NA,0.00539093010613989,0.75,259.400224879341,0.00212688509724424,0.666666666666667,469.171144316037,9924178941,0,10000000000
6,0.560267484835461,NA,0.673101542127072,1,1.18512012270735,0.0212125581773663,0.666666666666667,46.1418860298989,9924261999,0,10000000000
7,1.43104635286522,NA,0,0.25,NA,0,0.333333333333333,NA,9924323370,0,10000000000
8,1.66913630043702,NA,0.259981678817782,0.75,5.07553986369013,0.267177810090229,0.666666666666667,2.74282579703115,9927793842,1,10000000000
9,0.73405654232867,NA,0,0.25,NA,0,0.333333333333333,NA,9924391799,0,10000000000
10,1.15696721767024,NA,0,0.25,NA,0,0.333333333333333,NA,9926829054,1,10000000000
11,0.496082127187342,NA,0.876225657561394,1,1.31953840132654,0,0.333333333333333,NA,9930233785,2,10000000000
12,0.646832458901369,NA,0.535849295476096,1,1.17569091736007,0,0.333333333333333,NA,9924145880,0,10000000000
13,1.41591036503458,NA,0.0031570308602887,0.75,321.640817532918,0.0215568719859587,0.666666666666667,45.3889195357919,9917737283,0,10000000000
14,2.58912307520898,NA,0.64586591354329,1,1.26147488781205,0.305417602235424,0.666666666666667,2.27420552280144,9926247547,0,10000000000
15,1.21321683879177,NA,0.886876230682114,1,1.03951131764528,0,0.333333333333333,NA,9925235823,0,10000000000
16,0.547391284527656,NA,0.761295534700577,1,1.2670737763711,0.0543081068134219,1,24.2330595749344,9924350150,0,10000000000
17,1.66389703200091,NA,0.153032466707193,0.5,3.35637404932015,0,0.333333333333333,NA,9924814100,0,10000000000
18,0.514298417070021,NA,0.753749406821584,1,1.84034454659143,0.00260537274349337,0.666666666666667,382.822239062488,9924178949,0,10000000000
19,1.22903003560678,NA,0.722150682862275,1,1.00926285682915,0,0.333333333333333,NA,9924849613,0,10000000000
20,1.51230164237266,NA,0,0.25,NA,0,0.333333333333333,NA,9924275735,0,10000000000
21,1.39750895330052,NA,0,0.25,NA,0.132721442593682,0.666666666666667,6.53457753666404,9921401224,0,10000000000
22,1.90092871195515,NA,0,0.25,NA,0,0.333333333333333,NA,9924336510,0,10000000000
23,1.65643905952681,NA,0.402627114385984,1,1.91272110265153,0,0.333333333333333,NA,9924247331,0,10000000000
24,0.480782558659059,NA,0.895943509506729,1,1.29910222410258,0,0.333333333333333,NA,9918934902,0,10000000000
25,0.951532315515361,NA,0,0.25,NA,0,0.333333333333333,NA,9921266913,0,10000000000
26,2.04768838543131,NA,0.491250356576575,1,2.35743952613362,0,0.333333333333333,NA,9924307041,0,10000000000
27,0.574320369715559,NA,0,0.25,NA,0,0.333333333333333,NA,9924403642,0,10000000000
28,0.899718218613399,NA,0,0.25,NA,0,0.333333333333333,NA,9924195339,0,10000000000
29,0.638644490494331,NA,0.551829906720269,1,1.49935808510713,2.60251691664326e-4,0.666666666666667,3841.43419746935,9924281312,0,10000000000
30,3.25049756897507,NA,0,0.25,NA,0,0.333333333333333,NA,9924430669,0,10000000000
31,0.478149555594447,NA,0.868368328324816,1,1.25851089142758,0,0.333333333333333,NA,9924217065,0,10000000000
32,2.56074381074918,NA,0.445106745088162,1,1.61447690093619,0.206045294051266,0.666666666666667,3.85330181698393,9924124097,0,10000000000
33,0.898996418126812,NA,0.338356632575343,0.75,2.28556480598448,4.04632078603973e-4,0.666666666666667,2470.38092325714,9924314488,0,10000000000
34,0.54870316697347,NA,0.756840829341137,1,1.22375512549871,0,0.333333333333333,NA,9924124052,0,10000000000
35,1.02539979787872,NA,0.514034245493753,1,1.74923111447015,0.378022507070955,0.666666666666667,1.64534513499827,9924338711,0,10000000000
