carrying_cap,replicate,recip_pop_size,trans_pop_size
10000000000,1,0,9924258141
10000000000,2,2,9921990688
10000000000,3,0,9924350534
10000000000,4,2,9924716138
10000000000,5,0,9924178941
10000000000,6,0,9924261999
10000000000,7,0,9924323370
10000000000,8,1,9927793842
10000000000,9,0,9924391799
10000000000,10,1,9926829054
10000000000,11,2,9930233785
10000000000,12,0,9924145880
10000000000,13,0,9917737283
10000000000,14,0,9926247547
10000000000,15,0,9925235823
10000000000,16,0,9924350150
10000000000,17,0,9924814100
10000000000,18,0,9924178949
10000000000,19,0,9924849613
10000000000,20,0,9924275735
10000000000,21,0,9921401224
10000000000,22,0,9924336510
10000000000,23,0,9924247331
10000000000,24,0,9918934902
10000000000,25,0,9921266913
10000000000,26,0,9924307041
10000000000,27,0,9924403642
10000000000,28,0,9924195339
10000000000,29,0,9924281312
10000000000,30,0,9924430669
10000000000,31,0,9924217065
10000000000,32,0,9924124097
10000000000,33,0,9924314488
10000000000,34,0,9924124052
10000000000,35,0,9924338711
10000000000,36,2,9923789999
10000000000,37,3,9929702810
10000000000,38,0,9924130706
10000000000,39,1,9923503358
10000000000,40,0,9924207095
10000000000,41,0,9924172825
10000000000,42,0,9924228842
10000000000,43,1,9920474336
10000000000,44,0,9924374548
10000000000,45,0,9924197339
10000000000,46,0,9925815730
10000000000,47,0,9923980734
10000000000,48,0,9927159189
10000000000,49,0,9920676294
10000000000,50,0,9924224104
10000000000,51,1,9925520217
10000000000,52,2,9924542093
10000000000,53,0,9924275985
10000000000,54,0,9925787349
10000000000,55,6,9926936141
10000000000,56,3,9920254384
10000000000,57,0,9922618777
10000000000,58,1,9924164598
10000000000,59,0,9924255535
10000000000,60,0,9924214479
10000000000,61,2,9925176348
10000000000,62,4,9933455654
10000000000,63,0,9924354615
10000000000,64,0,9924109349
10000000000,65,0,9924269352
10000000000,66,0,9924243790
10000000000,67,0,9924192441
10000000000,68,0,9924346258
10000000000,69,0,9923693112
10000000000,70,0,9924210183
10000000000,71,1,9921239728
10000000000,72,0,9923986875
10000000000,73,0,9922129102
10000000000,74,0,9919886232
10000000000,75,0,9924310027
10000000000,76,0,9924211930
10000000000,77,1,9925398039
10000000000,78,1,9926774390
10000000000,79,0,9924247761
10000000000,80,1,9918229654
10000000000,81,0,9924167105
10000000000,82,3,9924517619
10000000000,83,0,9926863813
10000000000,84,0,9923284585
10000000000,85,0,9931068113
10000000000,86,0,9924355570
10000000000,87,0,9927796586
10000000000,88,0,9924033470
10000000000,89,4,9925599516
10000000000,90,0,9924277013
10000000000,91,0,9924111751
10000000000,92,0,9924151170
10000000000,93,0,9925697733
10000000000,94,1,9924248542
10000000000,95,3,9920644964
10000000000,96,0,9924258669
10000000000,97,0,9924150516
10000000000,98,1,9925181652
10000000000,99,1,9932717062
10000000000,100,0,9924236149
5623413251.903491,1,0,5580830141
5623413251.903491,2,0,5580908726
5623413251.903491,3,0,5580832804
5623413251.903491,4,2,5580210083
5623413251.903491,5,0,5580860338
5623413251.903491,6,1,5576617585
5623413251.903491,7,1,5580745568
5623413251.903491,8,1,5580822199
5623413251.903491,9,0,5580740791
5623413251.903491,10,3,5580880315
5623413251.903491,11,2,5581234558
5623413251.903491,12,0,5580018428
5623413251.903491,13,1,5578454734
5623413251.903491,14,1,5581651880
5623413251.903491,15,0,5580831118
5623413251.903491,16,0,5581491157
5623413251.903491,17,0,5580790066
5623413251.903491,18,0,5580840987
5623413251.903491,19,0,5581478658
5623413251.903491,20,2,5582396483
5623413251.903491,21,0,5580800103
5623413251.903491,22,0,5580788702
5623413251.903491,23,0,5582493750
5623413251.903491,24,1,5583643088
5623413251.903491,25,0,5582054557
5623413251.903491,26,3,5577973056
5623413251.903491,27,0,5580828481
5623413251.903491,28,0,5580310586
5623413251.903491,29,2,5582333730
5623413251.903491,30,0,5580207341
5623413251.903491,31,0,5580255439
5623413251.903491,32,0,5580776805
5623413251.903491,33,1,5580542207
5623413251.903491,34,1,5581518264
5623413251.903491,35,0,5580815052
5623413251.903491,36,0,5580833178
5623413251.903491,37,2,5581486286
5623413251.903491,38,1,5580517601
5623413251.903491,39,2,5580176946
5623413251.903491,40,1,5578751582
5623413251.903491,41,5,5577737743
5623413251.903491,42,0,5580940022
5623413251.903491,43,0,5580881082
5623413251.903491,44,0,5580448727
5623413251.903491,45,0,5580869375
5623413251.903491,46,0,5580853418
5623413251.903491,47,0,5580756387
5623413251.903491,48,1,5583961310
5623413251.903491,49,2,5579310545
5623413251.903491,50,0,5580148492
5623413251.903491,51,0,5579744266
5623413251.903491,52,1,5580780309
5623413251.903491,53,0,5581390060
5623413251.903491,54,3,5580228075
5623413251.903491,55,0,5579938708
5623413251.903491,56,0,5580733850
5623413251.903491,57,0,5580991857
5623413251.903491,58,0,5581395657
5623413251.903491,59,0,5576657859
5623413251.903491,60,1,5580714259
5623413251.903491,61,1,5582227246
5623413251.903491,62,0,5580169468
5623413251.903491,63,0,5580658638
5623413251.903491,64,0,5580727726
5623413251.903491,65,1,5580766588
5623413251.903491,66,0,5580671712
5623413251.903491,67,0,5580803774
5623413251.903491,68,0,5581745116
5623413251.903491,69,1,5580353785
5623413251.903491,70,0,5582467905
5623413251.903491,71,0,5580834268
5623413251.903491,72,0,5579683405
5623413251.903491,73,0,5579474135
5623413251.903491,74,0,5579603676
5623413251.903491,75,0,5580741365
5623413251.903491,76,0,5580923775
5623413251.903491,77,0,5580854385
5623413251.903491,78,0,5580889734
5623413251.903491,79,0,5580308211
5623413251.903491,80,0,5581516190
5623413251.903491,81,0,5579801356
5623413251.903491,82,0,5580702727
5623413251.903491,83,1,5580867289
5623413251.903491,84,0,5580765328
5623413251.903491,85,0,5581336524
5623413251.903491,86,0,5580752906
5623413251.903491,87,0,5580835736
5623413251.903491,88,0,5581387989
5623413251.903491,89,0,5580899669
5623413251.903491,90,0,5581944591
5623413251.903491,91,0,5583634298
5623413251.903491,92,0,5580766768
5623413251.903491,93,2,5582746805
5623413251.903491,94,0,5580788316
5623413251.903491,95,0,5580778185
5623413251.903491,96,0,5580721125
5623413251.903491,97,0,5580853061
5623413251.903491,98,0,5580821408
5623413251.903491,99,0,5582677094
5623413251.903491,100,0,5580877536
3162277660.1683793,1,0,3138010233
3162277660.1683793,2,0,3138432720
3162277660.1683793,3,0,3137348570
3162277660.1683793,4,0,3138335064
3162277660.1683793,5,0,3138268694
3162277660.1683793,6,0,3138419245
3162277660.1683793,7,0,3136508209
3162277660.1683793,8,0,3138303305
3162277660.1683793,9,0,3137053734
3162277660.1683793,10,3,3140528152
3162277660.1683793,11,0,3138266555
3162277660.1683793,12,0,3138594622
3162277660.1683793,13,0,3138309143
3162277660.1683793,14,0,3138348798
3162277660.1683793,15,1,3137107809
3162277660.1683793,16,0,3138512799
3162277660.1683793,17,0,3138477755
3162277660.1683793,18,0,3138308950
3162277660.1683793,19,0,3138513128
3162277660.1683793,20,3,3138339868
3162277660.1683793,21,0,3138378757
3162277660.1683793,22,0,3138279040
3162277660.1683793,23,0,3138237083
3162277660.1683793,24,1,3136867541
3162277660.1683793,25,1,3138382776
3162277660.1683793,26,0,3138190718
3162277660.1683793,27,0,3138397563
3162277660.1683793,28,0,3137600064
3162277660.1683793,29,0,3137995913
3162277660.1683793,30,0,3138326267
3162277660.1683793,31,0,3139902216
3162277660.1683793,32,0,3138512512
3162277660.1683793,33,0,3139038168
3162277660.1683793,34,1,3138342815
3162277660.1683793,35,0,3138065194
3162277660.1683793,36,0,3138465317
3162277660.1683793,37,0,3138277761
3162277660.1683793,38,0,3138180840
3162277660.1683793,39,0,3136512237
3162277660.1683793,40,2,3137397857
3162277660.1683793,41,0,3137239662
3162277660.1683793,42,0,3137152118
3162277660.1683793,43,0,3138372130
3162277660.1683793,44,0,3138676102
3162277660.1683793,45,0,3138274655
3162277660.1683793,46,0,3139441424
3162277660.1683793,47,1,3138925565
3162277660.1683793,48,1,3139105505
3162277660.1683793,49,0,3138343415
3162277660.1683793,50,0,3138286459
3162277660.1683793,51,0,3138119549
3162277660.1683793,52,0,3138539224
3162277660.1683793,53,0,3139483947
3162277660.1683793,54,0,3138477584
3162277660.1683793,55,0,3138220277
3162277660.1683793,56,0,3137742020
3162277660.1683793,57,2,3139155045
3162277660.1683793,58,1,3141510669
3162277660.1683793,59,0,3138294815
3162277660.1683793,60,0,3137402754
3162277660.1683793,61,2,3137743924
