carrying_cap,replicate,recip_pop_size,trans_pop_size
10000000000,1,9716711764,207753287
10000000000,2,9715975807,208271079
10000000000,3,9698967697,225194680
10000000000,4,9692295933,232174747
10000000000,5,9705884697,218141849
10000000000,6,9689411072,234871645
10000000000,7,9728340300,195762895
10000000000,8,9697638986,226621708
10000000000,9,9692440067,231818421
10000000000,10,9708889345,215464698
10000000000,11,9699021992,225132178
10000000000,12,9798533554,125641003
10000000000,13,9714344682,210054354
10000000000,14,9717008363,207333421
10000000000,15,9754954167,169158343
10000000000,16,9699169864,225158631
10000000000,17,9705414022,218724799
10000000000,18,9689769816,234479499
10000000000,19,9706178180,217799380
10000000000,20,9689589514,234656716
10000000000,21,9684983438,239303591
10000000000,22,9705750036,218413132
10000000000,23,9685554503,238756304
10000000000,24,9689005865,235390860
10000000000,25,9687418080,236826934
10000000000,26,9686628283,237679908
10000000000,27,9708784039,215452714
10000000000,28,9691271234,232949719
10000000000,29,9701996116,221948386
10000000000,30,9689490451,234678035
10000000000,31,9782557245,141685214
10000000000,32,9705749038,218504645
10000000000,33,9682974863,241433089
10000000000,34,9761250995,163034090
10000000000,35,9675664900,248559861
10000000000,36,9688777660,235387301
10000000000,37,9683909595,240525440
10000000000,38,9719305212,204829628
10000000000,39,9725752484,198744092
10000000000,40,9690028537,234383930
10000000000,41,9695053772,229031220
10000000000,42,9691014979,233152517
10000000000,43,9715843193,208412038
10000000000,44,9776442905,148091095
10000000000,45,9638121535,286052494
10000000000,46,9803684420,120663115
10000000000,47,9690132594,234133204
10000000000,48,9734859092,189563239
10000000000,49,9687605211,236581307
10000000000,50,9754136584,170101004
10000000000,51,9750212867,174079398
10000000000,52,9686614174,237557242
10000000000,53,9719121560,205329623
10000000000,54,9713886177,210384051
10000000000,55,9690561464,233668184
10000000000,56,9690525832,233725024
10000000000,57,9669998985,254239824
10000000000,58,9724141634,200075260
10000000000,59,9686966062,237183736
10000000000,60,9694032604,230164910
10000000000,61,9716635257,207574237
10000000000,62,9695933446,228372257
10000000000,63,9673390185,250940696
10000000000,64,9703842246,220521549
10000000000,65,9715613655,208583866
10000000000,66,9712038569,212395215
10000000000,67,9684159024,240045343
10000000000,68,9735078719,189111284
10000000000,69,9677287050,247030395
10000000000,70,9690435729,233801802
10000000000,71,9683971134,240176236
10000000000,72,9707015167,217167346
10000000000,73,9709248424,214883510
10000000000,74,9717347430,206839053
10000000000,75,9696605106,227889652
10000000000,76,9703107304,221104847
10000000000,77,9721802067,202475895
10000000000,78,9684470434,239592754
10000000000,79,9710727245,213561239
10000000000,80,9709248351,214982141
10000000000,81,9690479885,233936558
10000000000,82,9737935857,186146286
10000000000,83,9686465098,237786990
10000000000,84,9693249468,231100680
10000000000,85,9726251375,198259175
10000000000,86,9677228118,246903437
10000000000,87,9692054861,232141334
10000000000,88,9686283965,238005205
10000000000,89,9685448489,238774033
10000000000,90,9693324205,230762098
10000000000,91,9708374067,215946404
10000000000,92,9711107208,213053799
10000000000,93,9695793188,228288095
10000000000,94,9682884083,241287218
10000000000,95,9698745099,225427987
10000000000,96,9739329590,184958687
10000000000,97,9735944490,188283678
10000000000,98,9639534626,284793641
10000000000,99,9682845406,241162518
10000000000,100,9705338606,218975317
5623413251.903491,1,5512346702,68383148
5623413251.903491,2,5505333969,75555052
5623413251.903491,3,5507399196,73297664
5623413251.903491,4,5505044631,75833724
5623413251.903491,5,5515701765,65079891
5623413251.903491,6,5518043843,62844331
5623413251.903491,7,5518772854,62105520
5623413251.903491,8,5505586142,75278465
5623413251.903491,9,5508246724,72650078
5623413251.903491,10,5508575665,72179473
5623413251.903491,11,5520889279,59925697
5623413251.903491,12,5510717428,70072969
5623413251.903491,13,5505746931,75074648
5623413251.903491,14,5505515016,75205755
5623413251.903491,15,5508923908,71917446
5623413251.903491,16,5509659833,71096759
5623413251.903491,17,5504852583,75926454
5623413251.903491,18,5522292642,58516736
5623413251.903491,19,5509609851,71216854
5623413251.903491,20,5506508115,74392111
5623413251.903491,21,5513653129,67107362
5623413251.903491,22,5518341766,62397547
5623413251.903491,23,5516949996,63910728
5623413251.903491,24,5500805895,79962127
5623413251.903491,25,5507276110,73565136
5623413251.903491,26,5509370482,71500086
5623413251.903491,27,5514860019,65967056
5623413251.903491,28,5509672572,71023730
5623413251.903491,29,5528228138,52561940
5623413251.903491,30,5497667216,83145149
5623413251.903491,31,5513022568,67722926
5623413251.903491,32,5510120910,70610259
5623413251.903491,33,5517123006,63779083
5623413251.903491,34,5508350356,72510866
5623413251.903491,35,5505301177,75526572
5623413251.903491,36,5503408218,77490066
5623413251.903491,37,5504269553,76447416
5623413251.903491,38,5505697253,75140286
5623413251.903491,39,5506402094,74401254
5623413251.903491,40,5507848169,73005103
5623413251.903491,41,5510531333,70306856
5623413251.903491,42,5506557271,74241680
5623413251.903491,43,5555988335,24884208
5623413251.903491,44,5508547434,72217538
5623413251.903491,45,5507567058,73134823
5623413251.903491,46,5503093839,77826002
5623413251.903491,47,5526148833,54851173
5623413251.903491,48,5487448297,93283431
5623413251.903491,49,5506121305,74642586
5623413251.903491,50,5512434220,68238761
5623413251.903491,51,5524120205,56659417
5623413251.903491,52,5516788332,64076703
5623413251.903491,53,5504916563,75920392
5623413251.903491,54,5515853350,64947434
5623413251.903491,55,5506910532,73958859
5623413251.903491,56,5506275570,74544709
5623413251.903491,57,5502860729,77957909
5623413251.903491,58,5508241894,72448066
5623413251.903491,59,5536299644,44569893
5623413251.903491,60,5517968128,62889790
5623413251.903491,61,5527010328,53772297
5623413251.903491,62,5514720008,66123506
5623413251.903491,63,5502831486,78124887
5623413251.903491,64,5514793718,66080338
5623413251.903491,65,5514268165,66705381
5623413251.903491,66,5510672443,70221278
5623413251.903491,67,5506244350,74545220
5623413251.903491,68,5514492802,66224726
5623413251.903491,69,5503207372,77530728
5623413251.903491,70,5513001626,67865103
5623413251.903491,71,5516311983,64380420
5623413251.903491,72,5513883546,66888037
5623413251.903491,73,5504873075,75980082
5623413251.903491,74,5516868975,63898969
5623413251.903491,75,5505434766,75379935
5623413251.903491,76,5508370124,72481410
5623413251.903491,77,5503943935,76881908
5623413251.903491,78,5505727964,75073623
5623413251.903491,79,5514424492,66373304
5623413251.903491,80,5505488406,75330643
5623413251.903491,81,5524046908,56801830
5623413251.903491,82,5514763646,66145776
5623413251.903491,83,5505732707,75126949
5623413251.903491,84,5528719210,52088060
5623413251.903491,85,5493527660,87300427
5623413251.903491,86,5505413802,75364620
5623413251.903491,87,5515327638,65594394
5623413251.903491,88,5511777708,69024553
5623413251.903491,89,5513468820,67376445
5623413251.903491,90,5516686172,64226330
5623413251.903491,91,5513782552,66977669
5623413251.903491,92,5518849676,62029441
5623413251.903491,93,5510201634,70681376
5623413251.903491,94,5516029437,64681916
5623413251.903491,95,5505440800,75372225
5623413251.903491,96,5518751947,61957151
5623413251.903491,97,5502703409,78132285
5623413251.903491,98,5506434495,74414120
5623413251.903491,99,5509237374,71569045
5623413251.903491,100,5511221937,69548639
3162277660.1683793,1,3118040147,20378588
3162277660.1683793,2,3115189377,23047021
3162277660.1683793,3,3115150202,23093544
3162277660.1683793,4,3109920876,28291037
3162277660.1683793,5,3114309213,24079365
3162277660.1683793,6,3115578046,22770681
3162277660.1683793,7,3114930272,23419325
3162277660.1683793,8,3114118317,24245022
3162277660.1683793,9,3116951794,21477064
3162277660.1683793,10,3120867160,17474052
3162277660.1683793,11,3114778364,23521355
3162277660.1683793,12,3114583674,23688995
3162277660.1683793,13,3116554488,21688627
3162277660.1683793,14,3117549682,20731983
3162277660.1683793,15,3103772924,34525796
3162277660.1683793,16,3117739139,20486661
3162277660.1683793,17,3116180294,22098510
3162277660.1683793,18,3115755099,22471616
3162277660.1683793,19,3115180975,23056442
3162277660.1683793,20,3114697889,23581116
3162277660.1683793,21,3116501908,21815372
3162277660.1683793,22,3117199893,21084275
3162277660.1683793,23,3118133516,20184632
3162277660.1683793,24,3115661268,22643050
3162277660.1683793,25,3114363556,23967033
3162277660.1683793,26,3115644688,22634797
3162277660.1683793,27,3117196208,21003474
3162277660.1683793,28,3117496745,20838784
3162277660.1683793,29,3114642012,23686633
3162277660.1683793,30,3112878775,25493047
3162277660.1683793,31,3114230549,24019473
3162277660.1683793,32,3115562294,22771920
3162277660.1683793,33,3123351373,14981127
3162277660.1683793,34,3120548621,17862184
3162277660.1683793,35,3116253395,22156844
3162277660.1683793,36,3117034155,21381967
3162277660.1683793,37,3114728905,23618734
3162277660.1683793,38,3114792679,23500159
3162277660.1683793,39,3115209736,23014046
3162277660.1683793,40,3115525523,22804484
3162277660.1683793,41,3115234799,23090870
3162277660.1683793,42,3114947386,23369687
3162277660.1683793,43,3116648670,21789111
3162277660.1683793,44,3115522286,22893477
3162277660.1683793,45,3116369292,21918595
3162277660.1683793,46,3113414141,24777968
3162277660.1683793,47,3116924656,21383558
3162277660.1683793,48,3121757036,16526427
3162277660.1683793,49,3112900925,25382560
3162277660.1683793,50,3114525462,23759536
3162277660.1683793,51,3110158653,28210855
3162277660.1683793,52,3116352534,21985630
3162277660.1683793,53,3116930215,21494456
3162277660.1683793,54,3114900105,23513922
3162277660.1683793,55,3114870843,23429383
3162277660.1683793,56,3114960771,23317976
3162277660.1683793,57,3115265334,23070231
3162277660.1683793,58,3116120756,22278667
3162277660.1683793,59,3114743259,23590234
3162277660.1683793,60,3115666725,22560700
3162277660.1683793,61,3117916145,20488325
3162277660.1683793,62,3118514863,19853125
3162277660.1683793,63,3115177590,23139135
3162277660.1683793,64,3114715737,23545217
3162277660.1683793,65,3114788502,23485186
3162277660.1683793,66,3114354517,23832264
3162277660.1683793,67,3116599247,21868145
3162277660.1683793,68,3119260227,19101439
3162277660.1683793,69,3115250817,23079559
3162277660.1683793,70,3123511704,14737389
3162277660.1683793,71,3117427354,20908588
3162277660.1683793,72,3114489851,23827580
3162277660.1683793,73,3117663362,20792296
3162277660.1683793,74,3117997436,20418861
3162277660.1683793,75,3115717844,22591523
3162277660.1683793,76,3117401346,20957519
3162277660.1683793,77,3115156142,23194657
3162277660.1683793,78,3118853908,19520609
3162277660.1683793,79,3118407327,19882912
3162277660.1683793,80,3116561341,21828216
3162277660.1683793,81,3117365872,21028839
3162277660.1683793,82,3117348642,20919861
3162277660.1683793,83,3114761337,23564484
3162277660.1683793,84,3114482821,23755111
3162277660.1683793,85,3114634781,23723420
3162277660.1683793,86,3115772379,22716956
3162277660.1683793,87,3114673034,23657828
3162277660.1683793,88,3115009862,23303918
3162277660.1683793,89,3113175250,25216109
3162277660.1683793,90,3117742009,20618038
3162277660.1683793,91,3118456046,19794717
3162277660.1683793,92,3115764104,22536870
3162277660.1683793,93,3114969635,23405723
3162277660.1683793,94,3120996683,17438961
3162277660.1683793,95,3114433800,23808874
3162277660.1683793,96,3116300112,22176711
3162277660.1683793,97,3115862871,22520142
3162277660.1683793,98,3114255454,24050579
3162277660.1683793,99,3118952110,19399547
3162277660.1683793,100,3116360548,22002727
1778279410.0389228,1,1757616290,7224005
1778279410.0389228,2,1760691045,4168174
1778279410.0389228,3,1755963652,8865660
1778279410.0389228,4,1757668376,7118406
1778279410.0389228,5,1751271991,13498449
1778279410.0389228,6,1757680325,7095464
1778279410.0389228,7,1757470943,7293496
1778279410.0389228,8,1758052982,6751107
1778279410.0389228,9,1758591320,6247819
1778279410.0389228,10,1757500003,7292073
1778279410.0389228,11,1757845378,6916974
1778279410.0389228,12,1757018836,7784503
1778279410.0389228,13,1757945036,6909488
1778279410.0389228,14,1757864775,6950177
1778279410.0389228,15,1757336123,7493514
1778279410.0389228,16,1757497829,7330221
1778279410.0389228,17,1758060401,6710227
1778279410.0389228,18,1759628986,5103814
1778279410.0389228,19,1757534250,7308631
1778279410.0389228,20,1757927269,6778407
1778279410.0389228,21,1759611291,5186373
1778279410.0389228,22,1757237202,7541486
1778279410.0389228,23,1757244568,7554342
1778279410.0389228,24,1757790180,6906303
